Date,SPY,XLK,IYC
8/23/2018,0,0.084046793,-0.178763664
8/24/2018,1,0.532554659,0.399940265
8/27/2018,1,0.481063492,0.266577575
8/28/2018,1,0.058545858,0.14823725
8/29/2018,1,0.47547933,0.670636518
8/30/2018,0,-0.21468828,-0.222167821
8/31/2018,1,0.004788741,0.309116093
9/4/2018,0,-0.260652252,0.268020994
9/5/2018,0,-0.759720152,-0.798864798
9/6/2018,0,-0.457854657,-0.273427457
9/7/2018,0,-0.234832983,0.124297929
9/10/2018,1,0.13802195,0.217245573
9/11/2018,1,0.445941455,0.428460996
9/12/2018,1,-0.279573094,0.0664391
9/13/2018,1,0.627349288,0.010224758
9/14/2018,1,-0.086459664,-0.290806968
9/17/2018,0,-0.763293029,-0.856565488
9/18/2018,1,0.321816888,0.810947463
9/19/2018,1,-0.186889612,-0.079198213
9/20/2018,1,0.633615886,0.427012709
9/21/2018,0,-0.267333262,-0.144900902
9/24/2018,0,0.242552149,-0.387088415
9/25/2018,0,-0.109382787,0.338180295
9/26/2018,0,-0.255102902,0.241836966
9/27/2018,1,0.295993993,0.283229865
9/28/2018,1,0.172546774,-0.065491147
10/1/2018,1,0.232299757,-0.207033755
10/2/2018,0,-0.033080269,-0.608398099
10/3/2018,1,0.133033825,-0.292475963
10/4/2018,0,-1.083045253,-0.919203037
10/5/2018,0,-0.766998041,-0.845459764
10/9/2018,0,0.163479204,0.052070514
10/10/2018,0,-2.884450974,-2.446154271
10/11/2018,0,-0.770049917,-1.211483069
10/12/2018,1,1.765760672,1.696143108
10/15/2018,0,-0.986018409,-0.215847325
10/16/2018,1,1.659493378,1.539460323
10/17/2018,1,-0.304472169,0.131401358
10/18/2018,0,-1.173711397,-1.319752442
10/19/2018,0,-0.065161688,-0.201259957
10/22/2018,0,0.431675492,0.17970395
10/23/2018,0,-0.260030262,-0.232702499
10/24/2018,0,-2.66439978,-2.688408165
10/25/2018,1,1.895107166,2.04116972
10/26/2018,0,-1.197572722,-2.189381816
10/29/2018,0,-1.01582875,-0.689399956
10/30/2018,1,0.597210773,1.187502765
10/31/2018,1,1.305123958,0.753434825
11/1/2018,1,0.624633442,1.357502028
11/2/2018,0,-1.170443026,-0.023005173
11/5/2018,1,-0.098981298,0.022548118
11/6/2018,1,0.316728489,0.361295913
11/7/2018,1,1.616996054,1.891127681
11/8/2018,0,-0.088950313,-0.043220297
11/9/2018,0,-1.040133644,-0.724967942
11/13/2018,0,0.027290058,-0.057946932
11/14/2018,0,-0.732204696,-0.570475561
11/15/2018,1,1.376150951,0.096672305
11/16/2018,1,-0.132907478,-0.432265139
11/19/2018,0,-2.265544824,-1.659265352
11/20/2018,0,-1.284405223,-1.799134095
11/21/2018,1,0.37694721,0.679422964
11/23/2018,0,-0.565338522,-0.141025085
11/26/2018,1,1.240356779,1.171848971
11/27/2018,1,0.072831867,0.449966869
11/28/2018,1,1.930431451,2.068636926
11/29/2018,0,-0.599343473,-0.015998593
11/30/2018,1,0.50121501,0.057278269
12/3/2018,1,1.209585901,1.01584418
12/4/2018,0,-2.251094469,-2.51429675
12/6/2018,0,0.087750851,0.509301275
12/7/2018,0,-2.094836619,-2.108230716
12/10/2018,1,0.742708189,0.176948132
12/11/2018,1,0.029245934,-0.117639155
12/12/2018,1,0.402916388,0.610656956
12/13/2018,0,0.054593393,-0.355596505
12/14/2018,0,-1.459279309,-1.439546863
12/17/2018,0,-1.268417562,-1.619063863
12/18/2018,0,0.410513265,0.373676544
12/19/2018,0,-1.184421655,-1.38621709
12/20/2018,0,-1.076868647,-1.665098034
12/21/2018,0,-1.807005228,-2.040500318
12/24/2018,0,-1.589366588,-1.469177734
12/26/2018,1,3.316623473,3.832000601
12/27/2018,1,0.370147618,0.265713623
12/28/2018,0,-0.171025606,0.081799869
12/31/2018,1,0.497609417,0.839543503
1/2/2019,1,-0.003706526,0.448082121
1/3/2019,0,-3.005377775,-1.244962933
1/4/2019,1,2.442055419,2.353883852
1/7/2019,1,0.469075762,1.242741798
1/8/2019,1,0.437130284,0.696332342
1/9/2019,1,0.69572963,0.199286099
1/10/2019,1,0.211713038,-0.041360187
1/11/2019,1,-0.148660037,-0.044995924
1/14/2019,0,-0.574725252,-0.502050746
1/15/2019,1,0.816883972,0.786549009
1/16/2019,1,0.013077363,-0.012265808
1/17/2019,1,0.325190022,0.370989478
1/18/2019,1,0.82437579,0.479870714
1/22/2019,0,-1.012505442,-1.29475405
1/23/2019,1,0.155056219,0.271557484
1/24/2019,1,0.436882824,0.205236565
1/25/2019,1,0.763861887,0.542793996
1/28/2019,0,-0.80993401,-0.339744143
1/29/2019,0,-0.660049425,-0.479034875
1/30/2019,1,1.711600475,0.975343158
1/31/2019,1,-0.101089296,0.968357772
2/1/2019,1,0.295249702,-0.896515682
2/4/2019,1,0.870863594,0.517965433
2/5/2019,1,0.439075042,0.510317958
2/6/2019,0,0.151808166,-0.336912391
2/7/2019,0,-0.831238771,-0.349018734
2/8/2019,1,0.288686182,-0.304207324
2/11/2019,1,-0.065912033,-0.122996728
2/12/2019,1,0.712538776,0.892370463
2/13/2019,1,0.03413497,0.24435823
2/14/2019,0,0.058916332,-0.012472454
2/15/2019,1,0.413428571,0.515654451
2/19/2019,1,-0.024197711,0.362731499
2/20/2019,1,0.025069467,-0.186032133
2/21/2019,0,-0.016008199,-0.085523868
2/22/2019,1,0.685231102,0.403379124
2/25/2019,1,0.234253993,-0.265284263
2/26/2019,0,0.08021043,0.029024959
2/27/2019,0,-0.097018973,-0.147858656
2/28/2019,0,-0.202004498,-0.148068723
3/1/2019,1,0.345855569,0.365523919
3/4/2019,0,-0.257717689,-0.268998108
3/5/2019,0,-0.21007142,0.178094849
3/6/2019,0,-0.340357682,-0.356106087
3/7/2019,0,-0.587412741,-1.000399232
3/8/2019,0,-0.048823387,-0.277510886
3/11/2019,1,1.176441444,0.951043484
3/12/2019,1,0.295561455,0.12352179
3/13/2019,1,0.333243748,0.345443631
3/14/2019,0,0.078182957,-0.130519934
3/15/2019,1,0.648218798,0.402832642
3/18/2019,1,0.202000225,0.38312155
3/19/2019,1,0.076369648,0.007938989
3/20/2019,0,-0.196731004,0.200721019
3/21/2019,1,1.379675137,0.794249157
3/22/2019,0,-1.406277764,-1.293708337
3/25/2019,0,-0.291050208,0.125159569
3/26/2019,1,0.272199546,0.255178662
3/27/2019,0,-0.369171095,-0.156707979
3/28/2019,1,0.194186629,0.305928738
3/29/2019,1,0.519125627,0.236347044
4/1/2019,1,0.735449328,0.755920171
4/2/2019,1,0.157449221,-0.15432148
4/3/2019,1,0.421452097,0.400965337
4/4/2019,1,-0.282572346,0.361747304
4/5/2019,1,0.231463707,0.442546163
4/8/2019,1,0.177625004,0.139357111
4/9/2019,0,-0.311720783,-0.347534938
4/10/2019,1,0.357982534,0.328345978
4/11/2019,0,-0.11563787,0.105969418
4/12/2019,1,0.355760877,0.49972961
4/15/2019,0,-0.06301453,0.219120859
4/16/2019,1,0.249421682,0.293025927
4/17/2019,0,0.277474594,0.107062464
4/18/2019,1,0.121420398,-0.009762831
4/22/2019,1,0.091631573,-0.107087438
4/23/2019,1,0.579857398,0.71989516
4/24/2019,0,-0.018855919,-0.070917285
4/25/2019,0,-0.055175054,-0.067726694
4/26/2019,1,-0.258850688,0.45488986
4/29/2019,1,-0.026064244,-0.038668483
4/30/2019,1,0.053996625,-0.160238989
5/1/2019,0,-0.186315571,-0.559496128
5/2/2019,0,-0.340396355,-0.158378716
5/3/2019,1,0.499251862,0.863990719
5/6/2019,0,-0.48531857,-0.208111872
5/7/2019,0,-1.283502497,-1.070946353
5/8/2019,0,-0.107991235,-0.009760835
5/9/2019,0,-0.431321782,-0.240802453
5/10/2019,1,0.139997582,0.101009782
5/13/2019,0,-2.239164334,-1.993174771
5/14/2019,1,0.873525524,0.50411703
5/15/2019,1,0.578523623,0.480417234
5/16/2019,1,0.481565926,0.650214043
5/17/2019,0,-0.502057516,-0.366681804
